Publication Titles	Record Count	% of 1,791
JOURNAL OF SOUTH AMERICAN EARTH SCIENCES	61	3.406
TECTONOPHYSICS	39	2.178
TECTONICS	38	2.122
JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH	26	1.452
ANDEAN GEOLOGY	23	1.284
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH	23	1.284
FRONTIERS IN MICROBIOLOGY	21	1.173
PLOS ONE	21	1.173
SCIENTIFIC REPORTS	21	1.173
ZOOTAXA	20	1.117
EARTH AND PLANETARY SCIENCE LETTERS	19	1.061
QUATERNARY INTERNATIONAL	19	1.061
GEOLOGY	18	1.005
JOURNAL OF ARID ENVIRONMENTS	18	1.005
MINERALIUM DEPOSITA	18	1.005
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	17	0.949
SCIENCE OF THE TOTAL ENVIRONMENT	17	0.949
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	16	0.893
QUATERNARY SCIENCE REVIEWS	16	0.893
GEOPHYSICAL RESEARCH LETTERS	14	0.782
GLOBAL AND PLANETARY CHANGE	14	0.782
LATIN AMERICAN ANTIQUITY	14	0.782
ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	13	0.726
CRUSTACEANA	13	0.726
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY	13	0.726
REVISTA CHILENA DE HISTORIA NATURAL	13	0.726
CHUNGARA REVISTA DE ANTROPOLOGIA CHILENA	12	0.670
QUATERNARY RESEARCH	12	0.670
GEOLOGICAL SOCIETY OF AMERICA BULLETIN	11	0.614
GEOMORPHOLOGY	11	0.614
GEOPHYSICAL JOURNAL INTERNATIONAL	11	0.614
REVISTA BRASILEIRA DE ENTOMOLOGIA	11	0.614
REVISTA GEOLOGICA DE CHILE	11	0.614
GEOCHIMICA ET COSMOCHIMICA ACTA	10	0.558
JOURNAL OF BIOGEOGRAPHY	10	0.558
PEERJ	10	0.558
BASIN RESEARCH	9	0.503
ECONOMIC GEOLOGY	9	0.503
GAYANA	9	0.503
GEOARCHAEOLOGY AN INTERNATIONAL JOURNAL	9	0.503
INTERNATIONAL JOURNAL OF CLIMATOLOGY	9	0.503
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY	9	0.503
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY	9	0.503
JOURNAL OF APPLIED PHYCOLOGY	9	0.503
JOURNAL OF ARCHAEOLOGICAL SCIENCE	9	0.503
JOURNAL OF QUATERNARY SCIENCE	9	0.503
JOURNAL OF STRUCTURAL GEOLOGY	9	0.503
JOURNAL OF THE GEOLOGICAL SOCIETY	9	0.503
JOURNAL OF THE LEPIDOPTERISTS SOCIETY	9	0.503
REMOTE SENSING	9	0.503
ANTIQUITY	8	0.447
EXTREMOPHILES	8	0.447
JOURNAL OF HYDROLOGY	8	0.447
MICROBIAL ECOLOGY	8	0.447
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	8	0.447
WATER	8	0.447
CHEMICAL GEOLOGY	7	0.391
GAYANA BOTANICA	7	0.391
GEOSPHERE	7	0.391
INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY	7	0.391
LITHOS	7	0.391
RENEWABLE ENERGY	7	0.391
ARCHAEOMETRY	6	0.335
CLIMATE OF THE PAST	6	0.335
HYDROBIOLOGIA	6	0.335
INTERNATIONAL JOURNAL OF PALEOPATHOLOGY	6	0.335
JOURNAL OF THE CHILEAN CHEMICAL SOCIETY	6	0.335
ORE GEOLOGY REVIEWS	6	0.335
PHYTOKEYS	6	0.335
APPLIED GEOCHEMISTRY	5	0.279
ATMOSPHERIC RESEARCH	5	0.279
CHILEAN JOURNAL OF AGRICULTURAL RESEARCH	5	0.279
ECOLOGY AND EVOLUTION	5	0.279
ECONOMIC GEOLOGY AND THE BULLETIN OF THE SOCIETY OF ECONOMIC GEOLOGISTS	5	0.279
ENVIRONMENTAL POLLUTION	5	0.279
FEMS MICROBIOLOGY ECOLOGY	5	0.279
FRONTIERS IN EARTH SCIENCE	5	0.279
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS	5	0.279
GEOTHERMICS	5	0.279
HYDROLOGICAL PROCESSES	5	0.279
HYDROLOGICAL SCIENCES JOURNAL JOURNAL DES SCIENCES HYDROLOGIQUES	5	0.279
INTERCIENCIA	5	0.279
JOURNAL OF ARCHAEOLOGICAL SCIENCE REPORTS	5	0.279
JOURNAL OF CLEANER PRODUCTION	5	0.279
JOURNAL OF MAMMALOGY	5	0.279
JOURNAL OF VERTEBRATE PALEONTOLOGY	5	0.279
MICROORGANISMS	5	0.279
MOLECULAR PHYLOGENETICS AND EVOLUTION	5	0.279
NOTA LEPIDOPTEROLOGICA	5	0.279
PHYSICS OF THE EARTH AND PLANETARY INTERIORS	5	0.279
PHYTOTAXA	5	0.279
QUATERNARY GEOCHRONOLOGY	5	0.279
SEDIMENTOLOGY	5	0.279
SOUTH AMERICAN JOURNAL OF HERPETOLOGY	5	0.279
ZOOKEYS	5	0.279
AMERICAN JOURNAL OF BOTANY	4	0.223
AMPHIBIAN REPTILE CONSERVATION	4	0.223
ARDEA	4	0.223
BOSQUE	4	0.223
BULLETIN OF VOLCANOLOGY	4	0.223
CRETACEOUS RESEARCH	4	0.223
CURRENT ANTHROPOLOGY	4	0.223
EARTH SCIENCE REVIEWS	4	0.223
EARTH SURFACE PROCESSES AND LANDFORMS	4	0.223
ELEMENTS	4	0.223
