Publication Titles	Record Count	% of 3,419
JOURNAL OF SOUTH AMERICAN EARTH SCIENCES	220	6.435
TECTONOPHYSICS	78	2.281
TECTONICS	68	1.989
JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH	57	1.667
QUATERNARY INTERNATIONAL	51	1.492
EARTH AND PLANETARY SCIENCE LETTERS	44	1.287
ANDEAN GEOLOGY	43	1.258
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH	41	1.199
ZOOTAXA	40	1.170
PLOS ONE	35	1.024
SCIENCE OF THE TOTAL ENVIRONMENT	35	1.024
GEOLOGY	33	0.965
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	32	0.936
JOURNAL OF ARID ENVIRONMENTS	32	0.936
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY	31	0.907
INTERNATIONAL JOURNAL OF CLIMATOLOGY	29	0.848
GEOLOGICAL SOCIETY OF AMERICA BULLETIN	28	0.819
SCIENTIFIC REPORTS	27	0.790
JOURNAL OF ARCHAEOLOGICAL SCIENCE REPORTS	25	0.731
FRONTIERS IN MICROBIOLOGY	23	0.673
MINERALIUM DEPOSITA	23	0.673
BASIN RESEARCH	22	0.643
QUATERNARY SCIENCE REVIEWS	22	0.643
GEOPHYSICAL JOURNAL INTERNATIONAL	21	0.614
GEOPHYSICAL RESEARCH LETTERS	21	0.614
QUATERNARY RESEARCH	21	0.614
GEOMORPHOLOGY	19	0.556
JOURNAL OF ARCHAEOLOGICAL SCIENCE	19	0.556
GLOBAL AND PLANETARY CHANGE	18	0.526
INTERNATIONAL JOURNAL OF EARTH SCIENCES	18	0.526
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	18	0.526
LATIN AMERICAN ANTIQUITY	18	0.526
LITHOS	18	0.526
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY	17	0.497
BULLETIN OF VOLCANOLOGY	16	0.468
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY	16	0.468
JOURNAL OF STRUCTURAL GEOLOGY	16	0.468
ANTIQUITY	15	0.439
ATMOSPHERIC RESEARCH	14	0.409
JOURNAL OF BIOGEOGRAPHY	14	0.409
JOURNAL OF GEODYNAMICS	14	0.409
MOUNTAIN RESEARCH AND DEVELOPMENT	14	0.409
PEERJ	14	0.409
REVISTA CHILENA DE HISTORIA NATURAL	14	0.409
WATER	14	0.409
ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	13	0.380
CHUNGARA REVISTA DE ANTROPOLOGIA CHILENA	13	0.380
CRUSTACEANA	13	0.380
ECONOMIC GEOLOGY	13	0.380
GEOARCHAEOLOGY AN INTERNATIONAL JOURNAL	13	0.380
GEOCHIMICA ET COSMOCHIMICA ACTA	13	0.380
JOURNAL OF THE GEOLOGICAL SOCIETY	13	0.380
REMOTE SENSING	13	0.380
SEDIMENTARY GEOLOGY	13	0.380
AMEGHINIANA	12	0.351
GEOSPHERE	12	0.351
JOURNAL OF GEOPHYSICAL RESEARCH ATMOSPHERES	12	0.351
PHYTOTAXA	12	0.351
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	12	0.351
REVISTA GEOLOGICA DE CHILE	12	0.351
ATMOSPHERE	11	0.322
HYDROLOGICAL PROCESSES	11	0.322
HYDROLOGICAL SCIENCES JOURNAL JOURNAL DES SCIENCES HYDROLOGIQUES	11	0.322
JOURNAL OF HYDROLOGY	11	0.322
REVISTA BRASILEIRA DE ENTOMOLOGIA	11	0.322
SYSTEMATIC BOTANY	11	0.322
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE	10	0.292
CHEMICAL GEOLOGY	10	0.292
ECONOMIC GEOLOGY AND THE BULLETIN OF THE SOCIETY OF ECONOMIC GEOLOGISTS	10	0.292
FRONTIERS IN EARTH SCIENCE	10	0.292
GONDWANA RESEARCH	10	0.292
HYDROBIOLOGIA	10	0.292
JOURNAL OF QUATERNARY SCIENCE	10	0.292
RENEWABLE ENERGY	10	0.292
ZOOKEYS	10	0.292
AMERICAN JOURNAL OF BOTANY	9	0.263
CLIMATE OF THE PAST	9	0.263
EXTREMOPHILES	9	0.263
GAYANA	9	0.263
GAYANA BOTANICA	9	0.263
HYDROLOGY AND EARTH SYSTEM SCIENCES	9	0.263
JOURNAL OF APPLIED PHYCOLOGY	9	0.263
JOURNAL OF THE LEPIDOPTERISTS SOCIETY	9	0.263
MICROBIAL ECOLOGY	9	0.263
ORE GEOLOGY REVIEWS	9	0.263
ACTA TROPICA	8	0.234
AGRICULTURAL AND FOREST METEOROLOGY	8	0.234
GEOSCIENCE FRONTIERS	8	0.234
JOURNAL OF SEDIMENTARY RESEARCH	8	0.234
MINERALS	8	0.234
PHYTOCOENOLOGIA	8	0.234
PHYTOKEYS	8	0.234
AMPHIBIAN REPTILE CONSERVATION	7	0.205
CLIMATE DYNAMICS	7	0.205
CONTRIBUTIONS TO MINERALOGY AND PETROLOGY	7	0.205
ECOLOGY AND EVOLUTION	7	0.205
ENVIRONMENTAL ARCHAEOLOGY	7	0.205
ENVIRONMENTAL POLLUTION	7	0.205
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS	7	0.205
GEOLOGICAL MAGAZINE	7	0.205
GEOTHERMICS	7	0.205
INTERNATIONAL JOURNAL OF PALEOPATHOLOGY	7	0.205
INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY	7	0.205
JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY	7	0.205
JOURNAL OF GEOCHEMICAL EXPLORATION	7	0.205
JOURNAL OF PALEONTOLOGY	7	0.205
JOURNAL OF PETROLOGY	7	0.205
LANDSLIDES	7	0.205
NEOTROPICAL ENTOMOLOGY	7	0.205
SEDIMENTOLOGY	7	0.205
SMALL RUMINANT RESEARCH	7	0.205
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY	7	0.205
APPLIED GEOCHEMISTRY	6	0.175
ARCHAEOMETRY	6	0.175
BIODIVERSITY AND CONSERVATION	6	0.175
EARTH SURFACE PROCESSES AND LANDFORMS	6	0.175
FEMS MICROBIOLOGY ECOLOGY	6	0.175
JOURNAL OF ETHNOPHARMACOLOGY	6	0.175
JOURNAL OF MAMMALOGY	6	0.175
JOURNAL OF THE CHILEAN CHEMICAL SOCIETY	6	0.175
MOLECULAR PHYLOGENETICS AND EVOLUTION	6	0.175
PHYSICS OF THE EARTH AND PLANETARY INTERIORS	6	0.175
PLANT SYSTEMATICS AND EVOLUTION	6	0.175
STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT	6	0.175
ZOOLOGICAL STUDIES	6	0.175
ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES	5	0.146
ARCTIC ANTARCTIC AND ALPINE RESEARCH	5	0.146
CATENA	5	0.146
CHILEAN JOURNAL OF AGRICULTURAL RESEARCH	5	0.146
CURRENT ANTHROPOLOGY	5	0.146
DATA IN BRIEF	5	0.146
EARTH SCIENCE REVIEWS	5	0.146
ELEMENTS	5	0.146
ENVIRONMENTAL EARTH SCIENCES	5	0.146
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	5	0.146
ESTUDIOS ATACAMENOS	5	0.146
HOLOCENE	5	0.146
