Publication Titles	Record Count	% of 96
ICARUS	8	8.333
GEOMORPHOLOGY	6	6.250
JOURNAL OF GEOPHYSICAL RESEARCH PLANETS	6	6.250
ASTROBIOLOGY	4	4.167
GEOCHIMICA ET COSMOCHIMICA ACTA	4	4.167
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	4	4.167
ADVANCES IN SPACE RESEARCH	3	3.125
AEOLIAN RESEARCH	3	3.125
CHEMICAL GEOLOGY	3	3.125
PLANETARY AND SPACE SCIENCE	3	3.125
ANALYTICAL CHEMISTRY	2	2.083
EARTH AND PLANETARY SCIENCE LETTERS	2	2.083
EARTH AND SPACE SCIENCE	2	2.083
GEOLOGY	2	2.083
GEOPHYSICAL RESEARCH LETTERS	2	2.083
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2	2.083
SCIENTIFIC REPORTS	2	2.083
SOIL BIOLOGY BIOCHEMISTRY	2	2.083
AI MAGAZINE	1	1.042
AMERICAN MINERALOGIST	1	1.042
ANALYTICAL AND BIOANALYTICAL CHEMISTRY	1	1.042
ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	1	1.042
CATENA	1	1.042
CHEMIE DER ERDE GEOCHEMISTRY	1	1.042
CHEMOSPHERE	1	1.042
CLAYS AND CLAY MINERALS	1	1.042
EARTH SURFACE DYNAMICS	1	1.042
EARTH SURFACE PROCESSES AND LANDFORMS	1	1.042
ENGINEERING IN LIFE SCIENCES	1	1.042
ETHICS AND THE ENVIRONMENT	1	1.042
GEOBIOLOGY	1	1.042
GEOLOGICAL JOURNAL	1	1.042
GEOLOGICAL MAGAZINE	1	1.042
GEOLOGICAL QUARTERLY	1	1.042
GLOBAL BIOGEOCHEMICAL CYCLES	1	1.042
GONDWANA RESEARCH	1	1.042
INTERNATIONAL JOURNAL OF ASTROBIOLOGY	1	1.042
INTERNATIONAL JOURNAL OF SPELEOLOGY	1	1.042
JOURNAL OF ARID ENVIRONMENTS	1	1.042
JOURNAL OF GEOPHYSICAL RESEARCH EARTH SURFACE	1	1.042
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B BIOLOGY	1	1.042
JOURNAL OF SEDIMENTARY RESEARCH	1	1.042
JOURNAL OF SOUTH AMERICAN EARTH SCIENCES	1	1.042
JOURNAL OF THE GEOLOGICAL SOCIETY	1	1.042
LIFE BASEL	1	1.042
METEORITICS	1	1.042
METEORITICS PLANETARY SCIENCE	1	1.042
MICROBIAL ECOLOGY	1	1.042
NATURE PHYSICS	1	1.042
ORGANIC GEOCHEMISTRY	1	1.042
PERIODICO DI MINERALOGIA	1	1.042
PHILOSOPHICAL MAGAZINE	1	1.042
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	1	1.042
REMOTE SENSING	1	1.042
