Publication Titles	Record Count	% of 54
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	8	14.815
FRONTIERS IN MICROBIOLOGY	5	9.259
METEORITICS PLANETARY SCIENCE	4	7.407
SCIENTIFIC REPORTS	4	7.407
ASTROBIOLOGY	3	5.556
EARTH AND PLANETARY SCIENCE LETTERS	2	3.704
GEOCHEMISTRY EXPLORATION ENVIRONMENT ANALYSIS	2	3.704
GEOCHIMICA ET COSMOCHIMICA ACTA	2	3.704
GEOLOGY	2	3.704
JOURNAL OF GEOPHYSICAL RESEARCH PLANETS	2	3.704
MICROBIAL ECOLOGY	2	3.704
ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	1	1.852
BIOGEOCHEMISTRY	1	1.852
BIOMED RESEARCH INTERNATIONAL	1	1.852
CHUNGARA REVISTA DE ANTROPOLOGIA CHILENA	1	1.852
EARTH SURFACE PROCESSES AND LANDFORMS	1	1.852
ENVIRONMENTAL MICROBIOLOGY REPORTS	1	1.852
FEBS LETTERS	1	1.852
FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY	1	1.852
GEOPHYSICAL RESEARCH LETTERS	1	1.852
HYPERFINE INTERACTIONS	1	1.852
JOURNAL OF ARID ENVIRONMENTS	1	1.852
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A TOXIC HAZARDOUS SUBSTANCES ENVIRONMENTAL ENGINEERING	1	1.852
JOURNAL OF FIELD ROBOTICS	1	1.852
METEORITICS	1	1.852
PHYSICS OF THE EARTH AND PLANETARY INTERIORS	1	1.852
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	1	1.852
QUATERNARY SCIENCE REVIEWS	1	1.852
SCIENCE	1	1.852
