Affiliations	Record Count	% of 161
UNIVERSITE CATHOLIQUE LOUVAIN	1	0.621
UNIVERSITE DE BRETAGNE OCCIDENTALE	1	0.621
UNIVERSITE DE POITIERS	1	0.621
UNIVERSITE DE TOULOUSE	1	0.621
UNIVERSITE DE TUNIS EL MANAR	1	0.621
UNIVERSITE GRENOBLE ALPES UGA	1	0.621
UNIVERSITE PARIS SACLAY	1	0.621
UNIVERSITY HAWAII HILO	1	0.621
UNIVERSITY NACIONAL DE INGENIERIA LIMA	1	0.621
UNIVERSITY OF ABERDEEN	1	0.621
UNIVERSITY OF ALASKA FAIRBANKS	1	0.621
UNIVERSITY OF ALASKA SYSTEM	1	0.621
UNIVERSITY OF BARCELONA	1	0.621
UNIVERSITY OF BIRMINGHAM	1	0.621
UNIVERSITY OF BRADFORD	1	0.621
UNIVERSITY OF BREMEN	1	0.621
UNIVERSITY OF CALIFORNIA IRVINE	1	0.621
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	1	0.621
UNIVERSITY OF CALIFORNIA SANTA CRUZ	1	0.621
UNIVERSITY OF CAPE TOWN	1	0.621
UNIVERSITY OF COLOGNE	1	0.621
UNIVERSITY OF DUISBURG ESSEN	1	0.621
UNIVERSITY OF ERLANGEN NUREMBERG	1	0.621
UNIVERSITY OF GENEVA	1	0.621
UNIVERSITY OF GENOA	1	0.621
UNIVERSITY OF GUELPH	1	0.621
UNIVERSITY OF HANNOVER	1	0.621
UNIVERSITY OF KAISERSLAUTERN	1	0.621
UNIVERSITY OF MASSACHUSETTS AMHERST	1	0.621
UNIVERSITY OF MASSACHUSETTS SYSTEM	1	0.621
UNIVERSITY OF MISSOURI COLUMBIA	1	0.621
UNIVERSITY OF MISSOURI SYSTEM	1	0.621
UNIVERSITY OF MONTANA	1	0.621
UNIVERSITY OF MONTANA SYSTEM	1	0.621
UNIVERSITY OF NEBRASKA LINCOLN	1	0.621
UNIVERSITY OF NEBRASKA SYSTEM	1	0.621
UNIVERSITY OF NEVADA LAS VEGAS	1	0.621
UNIVERSITY OF NOTRE DAME	1	0.621
UNIVERSITY OF OREGON	1	0.621
UNIVERSITY OF OVIEDO	1	0.621
UNIVERSITY OF PALERMO	1	0.621
UNIVERSITY OF SANTIAGO DE COMPOSTELA	1	0.621
UNIVERSITY OF SOUTHERN CALIFORNIA	1	0.621
UNIVERSITY OF TARTU	1	0.621
UNIVERSITY OF TASMANIA	1	0.621
UNIVERSITY OF TEXAS ARLINGTON	1	0.621
UNIVERSITY OF TEXAS AUSTIN	1	0.621
UNIVERSITY OF TORONTO	1	0.621
UNIVERSITY OF VERMONT	1	0.621
UNIVERSITY OF WEST SCOTLAND	1	0.621
UNIVERSITY OF WESTMINSTER	1	0.621
UNIVERSITY OF WINNIPEG	1	0.621
UNIVERSITY OF WISCONSIN MADISON	1	0.621
UNIVERSITY OF WISCONSIN SYSTEM	1	0.621
UNIVERSITY SYSTEM OF GEORGIA	1	0.621
UNIVERSITY SYSTEM OF MARYLAND	1	0.621
UNIVERSITY TORONTO MISSISSAUGA	1	0.621
UNIVERSITY TOWN OF SHENZHEN	1	0.621
UNVERSIDAD CATOLICA NORTE	1	0.621
USAFSAM OEC	1	0.621
WASHINGTON STATE UNIVERSITY	1	0.621
WASHINGTON UNIVERSITY WUSTL	1	0.621
WEST VIRGINIA UNIVERSITY	1	0.621
1 record(s) (0.621%) do not contain data in the field being analyzed
