Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Warren-Rhodes, K., Weinstein, S., Piatek, J.L., Dohm, J., Hock, A., Minkley, E., Pane, D., Ernst, L.A., Fisher, G., Emani, S., Waggoner, A.S., Cabrol, N.A., Wettergreen, D.S., Grin, E., Coppin, P., Diaz, C., Moersch, J., Oril, G.G., Smith, T., Stubbs, K., Thomas, G., Wagner, M., Wyatt, M., Boyle, L.N.","6507272414;7202467479;8413915300;6603805402;23670103900;6602827757;7801385590;7102047621;7402440022;23670350800;7006508115;8941957900;6701392772;7004014625;57210675330;23669985900;6603075387;23670809900;9746727600;14036438300;7404575819;7404048975;7007142418;9041792700;","Robotic ecological mapping: Habitats and the search for life in the Atacama Desert",2007,"Journal of Geophysical Research: Biogeosciences","112","4","G04S06","","",,16,"10.1029/2006JG000301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39849105389&doi=10.1029%2f2006JG000301&partnerID=40&md5=c87b0df84a279e5c3d253b072ed19489",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-39849105389
"Piatek, J.L., Hardgrove, C., Moersch, J.E., Drake, D.M., Wyatt, M.B., Rampey, M., Carlisle, O., Warren-Rhodes, K., Dohm, J.M., Hock, A.N., Cabrol, N.A., Wettergreen, D.S., Grin, E.A., Diaz, G.C., Coppin, P., Weinstein, S., Cockell, C.S., Marinangeli, L., Ori, G.G., Smith, T., Jonak, D., Wagner, M., Stubbs, K., Thomas, G., Pudenz, E., Glasgow, J.","8413915300;23670122600;6603075387;16419383000;7007142418;57199563009;8600097800;6507272414;6603805402;23670103900;8941957900;6701392772;7004014625;7201671416;57210675330;7202467479;7004940683;6602980442;6603715178;9746727600;9744627300;7404048975;14036438300;7404575819;14036094800;7102092650;","Surface and subsurface composition of the Life in the Atacama field sites from rover data and orbital image analysis",2007,"Journal of Geophysical Research: Biogeosciences","112","4","G04S04","","",,7,"10.1029/2006JG000317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39849103748&doi=10.1029%2f2006JG000317&partnerID=40&md5=78153ad9e1a683d3c803ad4deb8d6eaa",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-39849103748
"Hock, A.N., Cabrol, N.A., Dohm, J.M., Piatek, J., Warren-Rhodes, K., Weinstein, S., Wettergreen, D.S., Grin, E.A., Moersch, J., Cockell, C.S., Coppin, P., Ernst, L., Fisher, G., Hardgrove, C., Marinangeli, L., Minkley, E., Ori, G.G.., Waggoner, A., Wyatt, M., Smith, T., Thompson, D., Wagner, M., Jonak, D., Stubbs, K., Thomas, G., Pudenz, E., Glasgow, J.","23670103900;8941957900;6603805402;8413915300;6507272414;7202467479;6701392772;7004014625;6603075387;7004940683;57210675330;7102047621;7402440022;23670122600;6602980442;6602827757;6603715178;7006508115;7007142418;9746727600;55316399700;7404048975;9744627300;14036438300;7404575819;14036094800;7102092650;","Life in the Atacama: A scoring system for habitability and the robotic exploration for life",2007,"Journal of Geophysical Research: Biogeosciences","112","4","G04S08","","",,12,"10.1029/2006JG000321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39849098011&doi=10.1029%2f2006JG000321&partnerID=40&md5=81abaa347e6d453be84e8c87bdb42b1a",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-39849098011
"Amashukeli, X., Pelletier, C.C., Kirby, J.P., Grunthaner, F.J.","6507732440;8664405700;57197659735;7003780380;","Subcritical water extraction of amino acids from Atacama Desert soils",2007,"Journal of Geophysical Research: Biogeosciences","112","4","G04S16","","",,44,"10.1029/2006JG000308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39849089323&doi=10.1029%2f2006JG000308&partnerID=40&md5=096e387fdf35f99a841e72b041cc1c1c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-39849089323
"Georgiou, C.D., Papapostolou, I., Sun, H., McKay, C.P.","7005194635;8209401700;55956813500;7101952183;","Superoxide radical assays and applications in Mars-like Atacama soils",2007,"Journal of Geophysical Research: Biogeosciences","112","4","G04S13","","",,7,"10.1029/2006JG000390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39849087415&doi=10.1029%2f2006JG000390&partnerID=40&md5=8f2922e11395dc7362cfc80dd6c1985e",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-39849087415
"Warren-Rhodes, K., Weinstein, S., Dohm, J., Piatek, J., Minkley, E., Hock, A., Cockell, C., Pane, D., Ernst, L.A., Fisher, G., Emani, S., Waggoner, A.S., Cabrol, N.A., Wettergreen, D.S., Apostolopoulos, D., Coppin, P., Grin, E., Diaz, C., Moersch, J., Oril, G.G., Smith, T., Stubbs, K., Thomas, G., Wagner, M., Wyatt, M.","6507272414;7202467479;6603805402;8413915300;6602827757;23670103900;7004940683;7801385590;7102047621;7402440022;23670350800;7006508115;8941957900;6701392772;55397247900;57210675330;7004014625;23669985900;6603075387;23670809900;9746727600;14036438300;7404575819;7404048975;7007142418;","Searching for microbial life remotely: Satellite-to-rover habitat mapping in the Atacama Desert, Chile",2007,"Journal of Geophysical Research: Biogeosciences","112","4","G04S05","","",,20,"10.1029/2006JG000283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39849085100&doi=10.1029%2f2006JG000283&partnerID=40&md5=3534a490f4ba5e46a10a2f7cb6fd3f4c",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-39849085100
"Muñoz, C., Guerra, N., Martínez-Frías, J., Lunar, R., Cerda, J.","57220709710;35618805300;7007183815;6603766648;18133575300;","The Atacama Desert: A preferential arid region for the recovery of meteorites-Find location features and strewnfield distribution patterns",2007,"Journal of Arid Environments","71","2",,"188","200",,14,"10.1016/j.jaridenv.2007.03.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547568429&doi=10.1016%2fj.jaridenv.2007.03.007&partnerID=40&md5=5c2d24b87b4083c2c810ca18f98bccf9",Review,"Final","All Open Access, Green",Scopus,2-s2.0-34547568429
"Ewing, S.A., Michalski, G., Thiemens, M., Quinn, R.C., Macalady, J.L., Kohl, S., Wankel, S.D., Kendall, C., Mckay, C.P., Amundson, R.","15044347400;57205981224;7006709088;57203048062;6602354554;7102175397;6507035424;7102153539;7101952183;7005994343;","Rainfall limit of the N cycle on Earth",2007,"Global Biogeochemical Cycles","21","3","GB3009","","",,65,"10.1029/2006GB002838","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36749070879&doi=10.1029%2f2006GB002838&partnerID=40&md5=542384e49f2274153ce6446e66b7cdd1",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-36749070879
"Dong, H., Rech, J.A., Jiang, H., Sun, H., Buck, B.J.","7402335059;7003316537;35310680200;55956813500;7006705761;","Endolithnic cyanobacteria in soil gypsum: Occurences in Atacama (Chile), Mojave (United States), and Al-Jafr Basin (Jordan) Deserts",2007,"Journal of Geophysical Research: Biogeosciences","112","2","G02030","","",,86,"10.1029/2006JG000385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548303426&doi=10.1029%2f2006JG000385&partnerID=40&md5=5398b0e99e0b622f2aa27ba571d3b3cb",Article,"Final","",Scopus,2-s2.0-34548303426
"Valenzuela, M., Abdu, Y., Scorzelli, R.B., Duttine, M., Morata, D., Munayco, P.","57197676669;7801686220;6603903914;6506554710;6701836809;14047268400;","Room temperature 57Fe Mössbauer spectroscopy of ordinary chondrites from the Atacama Desert (Chile): Constraining the weathering processes on desert meteorites",2007,"Hyperfine Interactions","175","1-3",,"9","14",,5,"10.1007/s10751-008-9581-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-45749149907&doi=10.1007%2fs10751-008-9581-4&partnerID=40&md5=288ec5bad7370546b806dfe5e5e95899",Article,"Final","",Scopus,2-s2.0-45749149907
