Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"NICHOLS, H.W.","57191423403;","INCA RELICS IN THE ATACAMA DESERT, CHILE",1929,"American Anthropologist","31","1",,"130","135",,,"10.1525/aa.1929.31.1.02a00100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989999987&doi=10.1525%2faa.1929.31.1.02a00100&partnerID=40&md5=2af5ebf921c32aa33d0da3e714b23e26",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84989999987
"Morrison, A.","57190078357;","Notes on the Birds of Lake Junin, Central Peru",1939,"Ibis","3","4",,"643","654",,,"10.1111/j.1474-919X.1939.tb06832.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977258307&doi=10.1111%2fj.1474-919X.1939.tb06832.x&partnerID=40&md5=cacfb4ea2f33d9b5987689e00b46beeb",Article,"Final","",Scopus,2-s2.0-84977258307
"Morrison, A.","57190078357;","Notes on the Birds of Lake Junin, Central Peru",1939,"Ibis","81","4",,"643","654",,1,"10.1111/j.1474-919X.1939.tb07194.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977254228&doi=10.1111%2fj.1474-919X.1939.tb07194.x&partnerID=40&md5=3e95621ae1b038818ea92fe77371ec01",Article,"Final","",Scopus,2-s2.0-84977254228
"Harrison, J.V.","55471546800;","The geology of the Central Andes in part of the province of Junin, Peru",1943,"Quarterly Journal of the Geological Society of London","99","1-4",,"1","36",,8,"10.1144/GSL.JGS.1943.099.01-04.05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857780853&doi=10.1144%2fGSL.JGS.1943.099.01-04.05&partnerID=40&md5=68710c8cdebb5367be18a467d21abd52",Article,"Final","",Scopus,2-s2.0-84857780853
"Newell, N.D.","6602554340;","Geology of the Lake Titicaca region, Peru and Bolivia",1949,"Memoir of the Geological Society of America","36","1",,"1","104",,57,"10.1130/MEM36-p1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880234993&doi=10.1130%2fMEM36-p1&partnerID=40&md5=f928a24cad1b42baf2e364c64a62ea98",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84880234993
"Pratt, W.P.","7201577691;","Local evidence of Pleistocene to recent orogeny in the Argentine Andes",1961,"Bulletin of the Geological Society of America","72","10",,"1539","1550",,4,"10.1130/0016-7606(1961)72[1539:LEOPTR]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865424151&doi=10.1130%2f0016-7606%281961%2972%5b1539%3aLEOPTR%5d2.0.CO%3b2&partnerID=40&md5=a04122b7b107295334497e33237b4018",Article,"Final","",Scopus,2-s2.0-84865424151
"Barfield, L.","6603207721;","Recent Discoveries in the Atacama Desert and the Bolivian Altiplano",1961,"American Antiquity","27","1",,"82","92",,12,"10.2307/278237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53249101045&doi=10.2307%2f278237&partnerID=40&md5=1f0d51db8078f83b932cb2c332674510",Review,"Final","",Scopus,2-s2.0-53249101045
"Fisher, R.L., Raitt, R.W.","7403556474;22989834900;","Topography and structure of the Peru-Chile trench",1962,"Deep-Sea Research and Oceanographic Abstracts","9","11-12",,"423","424,IN1-IN2,425-443",,28,"10.1016/0011-7471(62)90094-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0006013389&doi=10.1016%2f0011-7471%2862%2990094-3&partnerID=40&md5=42d0b044f57150ef82d508c4364733f1",Article,"Final","",Scopus,2-s2.0-0006013389
"Segerstrom, K.","6602734016;","Quaternary geology of Chile: Brief outline",1964,"Bulletin of the Geological Society of America","75","3",,"157","170",,5,"10.1130/0016-7606(1964)75[157:QGOCBO]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874055899&doi=10.1130%2f0016-7606%281964%2975%5b157%3aQGOCBO%5d2.0.CO%3b2&partnerID=40&md5=690f8eb89626ee7b02da711095227e7e",Article,"Final","",Scopus,2-s2.0-84874055899
"Stoll, W.C.","55344171400;","Metallogenetic belts, centers, and epochs in Argentina and Chile",1964,"Economic Geology","59","1",,"126","135",,4,"10.2113/gsecongeo.59.1.126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0004376854&doi=10.2113%2fgsecongeo.59.1.126&partnerID=40&md5=fd704ea37596fe4d0276ba9a725f0750",Article,"Final","",Scopus,2-s2.0-0004376854
