"Flores-Aqueveque, V., Alfaro, S., Muñoz, R., Rutllant, J.A., Caquineau, S., Le Roux, J.P., Vargas, G.","35955868100;7003679485;7202035883;7003372165;6507469404;7102297218;7005493806;","Aeolian erosion and sand transport over the Mejillones Pampa in the coastal Atacama Desert of northern Chile",2010,"Geomorphology","120","3-4",,"312","325",,19,"10.1016/j.geomorph.2010.04.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954816087&doi=10.1016%2fj.geomorph.2010.04.003&partnerID=40&md5=ce9149cf9e286783c0a52a5107453550",Article,"Final","",Scopus,2-s2.0-77954816087
"Saillard, M., Hall, S.R., Audin, L., Farber, D.L., Martinod, J., Regard, V., Pedoja, K., Hérail, G.","15748016800;24366724000;7005114252;35581716700;55897139800;36094627300;15078506700;7004202642;","Reply to a Comment on ""Non-steady long-term uplift rates and Pleistocene marine terrace development along the Andean margin of Chile (31°S) inferred from 10Be dating"" by M. Saillard, S.R. Hall, L. Audin, D.L. Farber, G. Hérail, J. Martinod, V. Regard, R.C. Finkel. and F. Bondoux [Earth Planet. Sci. Lett. 277 (2009) 50-63]",2010,"Earth and Planetary Science Letters","296","3-4",,"506","509",,4,"10.1016/j.epsl.2010.05.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954660718&doi=10.1016%2fj.epsl.2010.05.017&partnerID=40&md5=08ff54c5c670e9cf0a9fb8af6a0735d2",Note,"Final","",Scopus,2-s2.0-77954660718
"Hernández, A., Giralt, S., Bao, R., Sáez, A., Leng, M.J., Barker, P.A.","24334975500;7007002237;7004679878;57202439533;7006497331;7402080530;","ENSO and solar activity signals from oxygen isotopes in diatom silica during late glacial-Holocene transition in central Andes (18°S)",2010,"Journal of Paleolimnology","44","2",,"413","429",,13,"10.1007/s10933-010-9412-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954657587&doi=10.1007%2fs10933-010-9412-x&partnerID=40&md5=cd7cc213b044ea35047478aa0a869ce5",Article,"Final","All Open Access, Green",Scopus,2-s2.0-77954657587
"Dorador, C., Vila, I., Remonsellez, F., Imhoff, J.F., Witzel, K.-P.","23666723800;6701661179;25639992100;7005354833;7004266095;","Unique clusters of Archaea in Salar de Huasco, an athalassohaline evaporitic basin of the Chilean Altiplano",2010,"FEMS Microbiology Ecology","73","2",,"291","302",,55,"10.1111/j.1574-6941.2010.00891.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954413876&doi=10.1111%2fj.1574-6941.2010.00891.x&partnerID=40&md5=4bdea48009e15111f6c03258b0f750ed",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-77954413876
"Baker, R.G.A., Rehkämper, M., Ihlenfeld, C., Oates, C.J., Coggon, R.","55452039700;7003837574;25823806700;16313262200;8146739600;","Thallium isotope variations in an ore-bearing continental igneous setting: Collahuasi Formation, northern Chile",2010,"Geochimica et Cosmochimica Acta","74","15",,"4405","4416",,28,"10.1016/j.gca.2010.04.068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953957778&doi=10.1016%2fj.gca.2010.04.068&partnerID=40&md5=288d5e4c27ceeb2e64ffe37a429926dd",Article,"Final","",Scopus,2-s2.0-77953957778
"Kral, S.","23028039600;","Remarkable rescue unfolds",2010,"Mining Engineering","62","9",,"96","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78349242184&partnerID=40&md5=db10e842991eebec61bf71216444c812",Short Survey,"Final","",Scopus,2-s2.0-78349242184
"Gould, B.A., León, B., Buffen, A.M., Thompson, L.G.","16642438900;7005500144;15135112900;7403729580;","Evidence of a high-andean, mid-holocene plant community: An ancient DNA analysis of glacially preserved remains",2010,"American Journal of Botany","97","9",,"1579","1584",,14,"10.3732/ajb.1000058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049276350&doi=10.3732%2fajb.1000058&partnerID=40&md5=990c11fcde780b9845e873191374dd81",Article,"Final","",Scopus,2-s2.0-78049276350
"Murphy, A., Llano, R.","57199723378;36716511700;","Father COPPER",2010,"Virginia Quarterly Review","86","4",,"70","73+76-77+80-88",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957839799&partnerID=40&md5=7bf1afd060533c1b96b9aad5e3685570",Review,"Final","",Scopus,2-s2.0-77957839799
"Murray, B.P., Horton, B.K., Matos, R., Heizler, M.T.","36502124700;7006721107;24822529700;7003586301;","Oligocene-Miocene basin evolution in the Northern Altiplano, Bolivia: Implications for evolution of the central Andean backthrust belt and high plateau",2010,"Bulletin of the Geological Society of America","122","9-10",,"1443","1462",,22,"10.1130/B30129.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957030831&doi=10.1130%2fB30129.1&partnerID=40&md5=d14e96f8f814d3aacf827eb9cc084bdb",Article,"Final","",Scopus,2-s2.0-77957030831
"González, M.E., Veblen, T.T., Sibold, J.S.","8517967900;7005710296;6506579671;","Influence of fire severity on stand development of Araucaria araucana-Nothofagus pumilio stands in the Andean cordillera of south-central Chile",2010,"Austral Ecology","35","6",,"597","615",,35,"10.1111/j.1442-9993.2009.02064.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956161309&doi=10.1111%2fj.1442-9993.2009.02064.x&partnerID=40&md5=0946dcc18e28acf4eec6c2a5288632f3",Article,"Final","",Scopus,2-s2.0-77956161309
