Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Martínez, F., López, C., Parra, M.","57206754343;57211002466;24588056400;","Effects of pre-orogenic tectonic structures on the Cenozoic evolution of Andean deformed belts: Evidence from the Salar de Punta Negra Basin in the Central Andes of Northern Chile",2020,"Basin Research","32","6",,"1441","1462",,4,"10.1111/bre.12436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079389935&doi=10.1111%2fbre.12436&partnerID=40&md5=9def07c035c5d163edae8d5f744d65b5",Article,"Final","",Scopus,2-s2.0-85079389935
"Huarancca Reyes, T., Esparza, E., Crestani, G., Limonchi, F., Cruz, R., Salinas, N., Scartazza, A., Guglielminetti, L., Cosio, E.","56032865400;56568421600;57214877234;57192925194;57203916699;36626171700;6508258011;6602755912;6603015733;","Physiological responses of maca (Lepidium meyenii Walp.) plants to UV radiation in its high-altitude mountain ecosystem",2020,"Scientific Reports","10","1","2654","","",,11,"10.1038/s41598-020-59638-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079361219&doi=10.1038%2fs41598-020-59638-4&partnerID=40&md5=97d9047b287c9dcf88a41e79e9c626cc",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85079361219
"Raux, P.S., Gravelle, S., Dumais, J.","36811573900;55877934900;6602827447;","Design of a unidirectional water valve in Tillandsia",2020,"Nature Communications","11","1","396","","",,12,"10.1038/s41467-019-14236-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078224934&doi=10.1038%2fs41467-019-14236-5&partnerID=40&md5=e8d1dc52b48bac726fc170fa830c6449",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85078224934
"Azua-Bustos, A., González-Silva, C., Fernández-Martínez, M.Á., Arenas-Fajardo, C., Fonseca, R., Martín-Torres, F.J., Fernández-Sampedro, M., Fairén, A.G., Zorzano, M.-P.","26038934900;35098616700;55653277100;55641591100;54895907100;6603402408;56293647900;7003799252;35612235000;","Author Correction: Aeolian transport of viable microbial life across the Atacama Desert, Chile: Implications for Mars (Scientific Reports, (2019), 9, 1, (11024), 10.1038/s41598-019-47394-z)",2020,"Scientific Reports","10","1","751","","",,,"10.1038/s41598-020-57444-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077895198&doi=10.1038%2fs41598-020-57444-6&partnerID=40&md5=e9de8ad35b6d5dad7184cf3370641ece",Erratum,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85077895198
"Wang, F., Michalski, G.","55957855600;57205981224;","Modern Meteoric 36Cl Deposition in the Atacama Desert, Chile",2020,"Geophysical Research Letters","47","21","e2020GL089982","","",,,"10.1029/2020GL089982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095931733&doi=10.1029%2f2020GL089982&partnerID=40&md5=5c7e9e1d15635a30182e7e6817840a17",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85095931733
"Munoz-Saez, C., Perez-Nuñez, C., Martini, S., Vargas-Barrera, A., Reich, M., Morata, D., Manga, M.","56104880000;57219712214;57220497610;57219715576;35389550600;6701836809;7006760316;","The Alpehue geyser field, Sollipulli Volcano, Chile",2020,"Journal of Volcanology and Geothermal Research","406",,"107065","","",,1,"10.1016/j.jvolgeores.2020.107065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094928049&doi=10.1016%2fj.jvolgeores.2020.107065&partnerID=40&md5=7e402bf7dde6c035566007067337a260",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85094928049
"Quiroga, M.F., Becchio, R., Arnosio, M., McPhie, J., Bustos, E., Ortiz, A., Suzaño, N., López, F.","57192690133;6602998117;6505673923;7003616686;55507598400;57190122281;57188850725;57225325922;","Distinguishing lavas from intrusions in an Early Paleozoic submarine backarc sequence, Puna, Argentina",2020,"Journal of Volcanology and Geothermal Research","406",,"107067","","",,1,"10.1016/j.jvolgeores.2020.107067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092043880&doi=10.1016%2fj.jvolgeores.2020.107067&partnerID=40&md5=6dbe65dcfa80dcecfce305ef49ba6ea1",Article,"Final","",Scopus,2-s2.0-85092043880
"Mey, J., D'Arcy, M.K., Schildgen, T.F., Egholm, D.L., Wittmann, H., Strecker, M.R.","56155101200;49861161500;6507452097;57200906282;23767732900;7006301675;","Temperature and precipitation in the southern Central Andes during the last glacial maximum, Heinrich Stadial 1, and the Younger Dryas",2020,"Quaternary Science Reviews","248",,"106592","","",,4,"10.1016/j.quascirev.2020.106592","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091571986&doi=10.1016%2fj.quascirev.2020.106592&partnerID=40&md5=5af4440a00ce3cdb46c9c7a72a68736d",Article,"Final","",Scopus,2-s2.0-85091571986
"Arán-Sekul, T., Perčić-Sarmiento, I., Valencia, V., Olivero, N., Rojas, J.M., Araya, J.E., Taucare-Ríos, A., Catalán, A.","57193871161;57219909477;57219909422;57219909117;57193865586;7006436652;55440443700;35338929500;","Toxicological Characterization and Phospholipase D Activity of the Venom of the Spider Sicarius thomisoides",2020,"Toxins","12","11",,"","",,2,"10.3390/toxins12110702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096030615&doi=10.3390%2ftoxins12110702&partnerID=40&md5=24e3dba59f8dcb82339bb6fd4f3fedf1",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85096030615
"Mas-Coma, S., Buchon, P., Funatsu, I.R., Angles, R., Mas-Bargues, C., Artigas, P., Valero, M.A., Bargues, M.D.","7003404234;21033563300;10243256600;6701587700;56387587400;6701780990;7102334544;7003325417;","Donkey Fascioliasis Within a One Health Control Action: Transmission Capacity, Field Epidemiology, and Reservoir Role in a Human Hyperendemic Area",2020,"Frontiers in Veterinary Science","7",,"591384","","",,6,"10.3389/fvets.2020.591384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096234250&doi=10.3389%2ffvets.2020.591384&partnerID=40&md5=1f06438a5622980566521cdc61e493ed",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85096234250
